,text,label
67,"IHA Haberin diğer fotoğrafları için tıklayın Türkiye Cumhuriyeti’nin kurucusu Mustafa Kemal Atatürk, ebediyete intikalinin 77. yılında tüm yurtta olduğu gibi Sungurlu’da da anıldı. Atatürk’ün [PET_BOUNDARY]hayata gözlerini yumduğu[PET_BOUNDARY] saat 09:05’de sirenlerin çalmasıyla birlikte vatandaşlar, 1 dakikalık saygı duruşunda bulundu. Bazı vatandaşlar araçlarından inerek saygı duruşunda bulundu. Etiketler: Atatürk , Mustafa Kemal Atatürk , Çorum Haberleri « önceki haber sonraki haber »",1
775,"bir sözcüğü yavru ile göz temasını korurken tekrarlarsanız yavru köpeğiniz ileride, kullandığınız sözcüğü duyunca [PET_BOUNDARY]tuvaletini yapacaktır[PET_BOUNDARY], tabii ihtiyacı olduğu zamanlarda. Ödül ise oldukça önemlidir. Yalnız eğitim anında köpeğe fazla ödül vermekten",1
987,"da ayrıca farklılık göstermektedir. Rakip sırt üzeri düştüğünde ya da yüzükoyun şekilde göbeği yere geldiğinde el [PET_BOUNDARY]aşıran[PET_BOUNDARY] güreşçi, aşırtmalı aba güreşinde yenik sayılır. Ayrıca el aşıran güreşçi, elini bıraktığında da yenik",0
137,"""15 yaşına  geldiğinde ailesinden kalanları da [PET_BOUNDARY]ince hastalık[PET_BOUNDARY]tan kaybeden Kavabata, dünyada yapayalnız kalıyor .""",1
421,", kötü duada bulunmak. Yemek kaplarını açık bırakmak. Bir iş yaparken besmele çekmemek. Zaruretsiz ayakta def-i [PET_BOUNDARY]hacet görmek[PET_BOUNDARY]. Sual: Günümüzün şartları çok ağır, artık yılgınlık geldi, her şeye küsüp, pes etmek üzereyim... CEVAP Yılmak, pes",1
898,", çözemiyorum; Aldığım her nefeste daha da bağlandım. Öyle bir esaret ki, kurtulamıyorum, Yer ile gök arası [PET_BOUNDARY]sıkıştım[PET_BOUNDARY] kaldım. Dokun yağmur misali gözlerime, Ilık bir rüzgâr gibi okşa başımı. Duy kalbimin sesini; sen atıyor yine, Ve",0
297,891473        Türkiye’de son bir yılda doğrudan [PET_BOUNDARY]madde[PET_BOUNDARY] kullanımına bağlı ölümlerde bir önceki yıla göre neredeyse 4 misli artış görülmüş ve toplum sağlığını ciddi biçimde riske sokan boyutlara ulaşmıştır.,1
836,bizim zevkimize bırakılmış durumda. Sevimli Midilli Temizle bizlere bir midillinin bütün ihtiyaçlarını görme ve bu [PET_BOUNDARY]ihtiyaçları giderme[PET_BOUNDARY] fırsatı sunmuş durumda. Uzun tekstil Uzun tekstil Telefon : 0212 6642988Faksı : 0212 Sektör : Tekstil Sektörü Uzun,0
630,"yerken, üstadını kendi ile birlikte görmek. ( bu durumda edebli olunmalıdır. ) Mürid uyurken, ayağını uzatırken ve [PET_BOUNDARY]abdest bozarken[PET_BOUNDARY] kıbleden sakındığı gibi üstadının bulunduğu yönden de sakınmalıdır. Üstadın bulunduğu yönü nurla kaplanmış, diğer",1
373,"gülüyorlar, biz onlar için ağlayıp hidayet diliyoruz. Sahipkıran 17.07.2021 10:16 Eee o camiye bir gün mutlaka [PET_BOUNDARY]dört kolluda[PET_BOUNDARY] gideceksiniz, yol yakınken tövbe edin... Yoksa Allahın azabı pek çetin... Beğen Süleyman BENLİ 17.07.2021 10:16",1
100,"IHA Kütahya’nın Emet Kaymakamlığı Sosyal Yardımlaşma ve Dayanışma Vakfı ile Emet Belediyesi’nin ortak organizasyonu her gün bin kişiye iftar yemeği verileceği bildirildi. Hükümet Meydanı’nda kurulacak olan iftar çadırının yanı sıra, hasta ve yaşlılar ile, [PET_BOUNDARY]ihtiyaç sahibi[PET_BOUNDARY] evlere yemek ve pide servisi de yapılacağı ifade edildi.(EFE) Etiketler: Kütahya , Kütahya Haberleri « önceki haber sonraki haber »",1
851,geri kalan bölümünde her gün statin kullanmaları gerektiğini idda ediyor. Bu rapora göre statinler kalp krizi ve [PET_BOUNDARY]inme[PET_BOUNDARY] riskini azaltıyor. Sadece yüksek riskli hastalarda değil sigara içenler yüksek tansiyonu olanlar ve aşırı kilolu,1
956,"Özel Küre. Bakan yerine oturdu. Dudaklarını yayarak gülümserken, ellerini iki yanındaki koltukların üzerinden [PET_BOUNDARY]aşırdı[PET_BOUNDARY]. Özel Küre gözlüklerinin üzerinden baktı, güldü. - Hımmm! Düşününce, bütünüyle haksız sayılmazsınız. Neyse, seçim",0
475,"önce şu masalı anlatmış: Bak oğlum, zamanın birinde bizler gibi bir anne ile oğlu bu armut ağacının dibine gelmişler. [PET_BOUNDARY]İki canlı[PET_BOUNDARY] anne, oğlunun armut ağacına çıkmasını, armut toplayıp kendisine getirmesini istemiş. Yaramaz çocuk armut ağacına",1
912,"Ermenistan' hayaline kapılarak Ermenileri sözde 'soykırım' iddialarıyla Türkiye'ye yönelik nefret duygularıyla [PET_BOUNDARY]tahrik etmelerinin[PET_BOUNDARY] bir sonucu olarak bölgesel istikrarsızlığın müsebbibi oldukları aşikardır' ifadelerini kullandı. 26 Nisan 2021,",0
123,C.D - ben rol icabı [PET_BOUNDARY]iki canlıyım[PET_BOUNDARY]  zaten.,1
