,text,label
634,"633309        Mezuniyet programında öğrencilere onur belgeleri verilirken [PET_BOUNDARY]aramızdan ayrılacak[PET_BOUNDARY] olan öğretmenlere, servis rehberlerine ve servis şöförlerine göstermiş oldukları özveriden dolayı başarı ve teşekkür belgeleri verildi.",0
1134,"? Geleceğin haşere kontrol sistemleri için çalışıyoruz. Amacımız enerji dostu, çevreci, insan sağlığını koruyan ve [PET_BOUNDARY]ekonomik[PET_BOUNDARY] bir sistem sunmaktır. Dr. Rengin TÜRKGÜLER, Girişimsel Radyoloji Uzmanı GİRİŞİMSEL RADYOLOJİ Girişimsel",1
1085,"sevdim. Bir kaç hafta önce, Mart 1993""te, narin ellerini son defa öptüğümden üç gün sonra, Ramazan Bayramı arefesinde [PET_BOUNDARY]öteki dünyaya göç etti[PET_BOUNDARY]. "" Işıklı Hayatlar Nihad Sami Banarlı - Ekrem Hakkı Ayverdi - Samiha Ayverdi Elifhan Köse* Sadık Yalsızuçanlar HALE",1
924,"ederim. Ayrıca çektiği bu mükemmel fotoğraflar için de Bülent Kılınç hocamı tebrik ederim. Yazının başlığında [PET_BOUNDARY]Son Yolculuk[PET_BOUNDARY] dedik ama, bu son geleceğimiz için yapılan çok önemli bir yolculuk. Minnettarız... Fe Fe diş bakım ve temizliği ürün",0
11,"Geride bırakmaya hazırlandığımız 2013 yılı genelinde sanat , spor , siyaset, medya ve bilim dünyasından pek çok ünlü isim [PET_BOUNDARY]aramızdan ayrıldı[PET_BOUNDARY]. Arabesk müziğin 'Baba'sı ünlü sanatçı Müslüm Gürses, Usta gazeteci Mehmet Ali Birand ve daha çok sayıda sevilen isim...",1
476,"""Davetiyede, dispeç ile müsbit vesikaların mahkeme kaleminde incelenebileceği ve çağırılanın  daha önce de dispeçe karşı mahkemede itirazda bulunabileceği [PET_BOUNDARY]muayyen günde[PET_BOUNDARY] gelmediği takdirde  dispeçe muvafakat etmiş sayılacağı yazılır.""",0
248,"DSÖ yetkililerinden Francesco Branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. Branca, [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY]lerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. Afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, Asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.",1
621,149648        Bir yetimhanenin kuruluş çalışmaları için gittiği Afganistan’da geçirdiği uçak kazasında [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] Bahattin YILDIZ için yazılan yazılar kitaplaştırıldı.,1
895,sağlıklı olduğuna dair bir işaret olarak kabul edilebilir. Ancak bazı zamanlarda aşırı yoğun olan sürekli [PET_BOUNDARY]gaz çıkarmak[PET_BOUNDARY] vücuttaki bazı şeylerin düzgün çalışmadığını gösterir. Aşırı gaz çıkarma ve şişkinlik hissinin altında yatan,1
195,"Rum kaynaklardan edinilen bilgiye göre, Kasulidis, Kıbrıs'taki BM yetkililerine, ""Daha fazla Suriyeli mülteciyi kabul etmemiz söz konusu olamaz"" dedi. Kasulidis, ""nüfusun Türkiyeli yerleşikler tarafından bozulmuş olmasını ve [PET_BOUNDARY]ekonomik[PET_BOUNDARY] krizi"" kararına gerekçe olarak ileri sürdü.",0
