,text,label
756,"Island Spice moved from their location on Adam Clayton Powell, Jr. Blvd and 119th up to 147th and Adam Clayton Powell, Jr. which is much larger space near the #3 train terminal. While there is a full dining room, most of the business when I [PET_BOUNDARY]pass on[PET_BOUNDARY] my way home from work is take out. Island Spice 2537 Adam Clayton Powell, Jr. Blvd. at 147th Street. www.eatjamrock.com Status: open",0
270,"And I think this is the heart of what is new. What's new now is that employers are not [PET_BOUNDARY]expecting[PET_BOUNDARY] to hire and train people.... Companies are now saying, for all @ @ @ @ @ @ @ @ @ @ do it anymore. ""And maybe they're right, they can't do it. But what they probably can't do is say,"" We're not going to do it, and it's your problem. ",0
101,"To me race is an issue for the older generation, especially considering the new minority-majority coming up (i'm 25 1st generation latino-american). Any racists left in America are doomed to live in the boondocks away from the hubs of innovation, and wealth @ @ @ @ @ @ @ @ @ @, etc and the slow [PET_BOUNDARY]demise[PET_BOUNDARY] of major religion I just don't see conservative social issues holding the weight they once carried in voters' minds. I think political arguments in the future will center around individualism versus collectivism, and considering robots and machine learning will take all of our jobs, I see collectivism winning the battle. ",0
1067,"my fiance and i both have life insurance. mine is through my employer (once we get married, i plan on getting a private policy as well), and his is through a private group. it is frustrating to see someone [PET_BOUNDARY]pass away[PET_BOUNDARY] and not have life insurance (especially when people assume that they did) because they left their employer, so i want to second what one of the other commenters wrote about looking into private plans as well.",1
1011,"When MF Global's chief risk officer disagreed with Corzine about the size of the company's European bond portfolio, Corzine directed him to report to Abelow rather than to MF Global's board of directors. ""This change effectively sidelined the most senior individual charged with monitoring the company's risks and [PET_BOUNDARY]deprived[PET_BOUNDARY] the board of an independent assessment of the risks that Corzine's trades posed to MF Global, its shareholders and its customers,"" the report declares.",0
956,"Kev, if it is SOOOOOOOOO motherfucking important that you only [PET_BOUNDARY]sleep with[PET_BOUNDARY] cis people, ask people you date if they're trans. And, you know, try not to be so ragingly transphobic in the process that they'll lie and they're placing their lives above their desire to assuage your burning terror of their genitalia.",1
48,"Walt's breaking to the dark side commences as early as the Pilot when the pitch-perfect Bryan Cranston as our ""hero"", bashfully blackmails his former student Jesse (a tragic character so stunningly portrayed by Aaron Paul ) into cooking meth with him. Walt initially pursues this extreme measure as an attempt to secure his family's future beyond his own [PET_BOUNDARY]demise[PET_BOUNDARY] from lung cancer. The audience sympathetically goes along feeling as though this is a genuine and clever masterplan, albeit illegal ( meh.). ",1
944,"i had the same clearance until i got out of the army for medical reasons last october, causing a loss of jurisdiction. my clearance hit the year mark in the beginning of this year, causing it to actually [PET_BOUNDARY]expire[PET_BOUNDARY].",0
702,"So, I agree that sometimes we have to [PET_BOUNDARY]let go of[PET_BOUNDARY] the preconceptions others have given us concerning life and happiness. But I certainly disagree that giving up is a way to progress. Though it may be a way to wipe your slate clean so that you may work forward from there.",0
874,"Woke up way too early... because I was on the couch after having a little slumber party with my daughter so she could [PET_BOUNDARY]sleep with[PET_BOUNDARY] our puppy, Olive. She has is being kennel trained I stayed on the couch with her and the puppy to discourage the puppy getting any ideas. I have tried to get her to sleep in a bed upstairs, but chasing cats is better than sleeping in our bed.",0
